Administration,Avg_HPI,Avg_Mortgage_Rate,Avg_Unemployment,Avg_Building_Permits
Pre-Trump,161.5316928104575,4.908751633986928,6.571895424836601,1169.516339869281
Trump,206.34425,3.894364583333333,5.0062500000000005,1369.625
Biden,291.77139024390243,5.249609756097561,4.170731707317073,1626.5853658536585
