Model,MAE,RMSE,R2,Train R2,Test R2,Gap,CV R2,CV Std
Linear Regression,0.660817271510339,0.797309095507712,0.9993970447965337,0.999995101062328,0.9993970447965337,0.0005980562657943445,0.9942690687197369,0.007538686623218449
Ridge Regression,3.7154266481060043,4.161952540084845,0.983570442843165,0.9998055066745104,0.983570442843165,0.01623506383134543,-3.135056467707725,8.241906512199547
Gradient Boosting,65.81620100921513,73.66865746246567,-4.147509078499479,0.9999552918676817,-4.147509078499479,5.147464370367161,-2.4582792663841273,3.8778795678466635
Decision Tree,66.21789795918367,73.75039094625836,-4.158937473029642,0.9982087549001092,-4.158937473029642,5.1571462279297515,-3.3146904954179193,5.315551583646877
Random Forest,69.07740554259784,76.1048679035698,-4.493593031791701,0.9990785548148456,-4.493593031791701,5.492671586606547,-2.6185351202494203,4.242155777014378
KNN,74.45921224489796,79.88251848659264,-5.052504314751348,0.9823282003445442,-5.052504314751348,6.034832515095893,-4.3135571939565045,5.047930904848391
SVR,103.7672210692272,109.60648260912572,-10.39473140575152,0.9822195579855322,-10.39473140575152,11.376950963737052,-7.678469005854507,8.496584029241102
